Team,Tier,Game W,Game L,Game T,Assault W,Assault L,Assault T,HANAMURA W,HANAMURA L,HANAMURA T,HORIZON W,HORIZON L,HORIZON T,PARIS W,PARIS L,PARIS T,TEMPLE W,TEMPLE L,TEMPLE T,VOLSKAYA W,VOLSKAYA L,VOLSKAYA T,Control W,Control L,Control T,BUSAN W,BUSAN L,BUSAN T,ILIOS W,ILIOS L,ILIOS T,LIJIANG W,LIJIANG L,LIJIANG T,NEPAL W,NEPAL L,NEPAL T,OASIS W,OASIS L,OASIS T,Escort W,Escort L,Escort T,DORADO W,DORADO L,DORADO T,HAVANA W,HAVANA L,HAVANA T,JUNKERTOWN W,JUNKERTOWN L,JUNKERTOWN T,RIALTO W,RIALTO L,RIALTO T,ROUTE 66 W,ROUTE 66 L,ROUTE 66 T,WATCHPOINT GIB W,WATCHPOINT GIB L,WATCHPOINT GIB T,Hybrid W,Hybrid L,Hybrid T,BLIZZARD WORLD W,BLIZZARD WORLD L,BLIZZARD WORLD T,EICHENWALDE W,EICHENWALDE L,EICHENWALDE T,HOLLYWOOD W,HOLLYWOOD L,HOLLYWOOD T,KINGS ROW W,KINGS ROW L,KINGS ROW T,NUMBANI W,NUMBANI L,NUMBANI T,Map W,Map L,Map T,Assault M S,Control M S,Escort M S,Hybrid M S
Tailwind,0,7,1,0,5,2,1,2,0,0,0,0,0,0,0,0,0,1,1,3,1,0,6,2,0,0,0,0,0,1,0,2,1,0,2,0,0,2,0,0,7,1,0,0,0,0,0,0,0,2,1,0,4,0,0,1,0,0,0,0,0,6,2,0,0,1,0,1,1,0,0,0,0,5,0,0,0,0,0,24,7,1,11,13,17,28
Aces,0,3,1,0,1,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,10,7,0,5,9,9,16
Seal Team Spuds,0,4,4,0,5,1,2,3,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5,4,0,0,0,0,2,0,0,3,2,0,0,1,0,0,1,0,3,5,0,0,2,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,4,4,0,1,0,0,1,0,0,0,1,0,2,3,0,0,0,0,17,14,2,14,11,14,27
Supernova,0,3,3,0,4,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,0,1,0,1,1,0,1,1,0,0,0,0,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,13,13,0,13,7,14,14
Praxis,0,5,3,0,3,5,0,2,1,0,0,0,0,0,0,0,0,0,0,1,4,0,7,5,0,0,0,0,1,1,0,2,2,0,2,0,0,2,2,0,3,5,0,1,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,1,0,4,4,0,0,0,0,2,0,0,2,0,0,0,4,0,0,0,0,17,19,0,19,16,16,23
Joey Esports,0,3,4,0,2,4,1,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,2,6,0,0,0,0,1,1,0,0,3,0,1,1,0,0,1,0,3,4,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,4,3,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,11,17,1,10,7,8,20
Prodigious,0,4,4,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,4,4,0,0,2,0,0,1,0,2,1,0,0,0,0,2,0,0,4,4,0,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,4,3,1,0,2,0,0,0,0,1,0,1,3,1,0,0,0,0,16,14,2,17,11,15,15
Exodus,0,5,3,0,5,3,0,2,0,0,0,0,0,0,0,0,1,0,0,2,3,0,5,4,0,0,1,0,1,0,0,2,0,0,0,2,0,2,1,0,5,3,0,0,0,0,0,0,0,0,3,0,4,0,0,1,0,0,0,0,0,7,1,0,2,0,0,1,0,0,1,0,0,3,1,0,0,0,0,22,11,0,14,12,16,25
Battalion,0,5,2,0,3,2,2,1,0,0,0,0,0,0,0,0,0,2,1,2,0,1,5,3,0,1,0,0,1,1,0,2,0,0,1,1,0,0,1,0,3,4,0,0,1,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,5,2,0,0,0,0,1,1,0,2,0,0,2,1,0,0,0,0,16,11,2,15,12,17,20
VCG Esports,0,1,4,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,4,16,0,8,3,4,5
Ignis,0,1,4,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,6,15,0,5,5,8,11
Dumpster Divers,0,2,5,0,2,5,0,1,4,0,0,0,0,0,0,0,1,0,0,0,1,0,2,5,0,1,0,0,1,1,0,0,1,0,0,1,0,0,2,0,3,4,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,6,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,0,8,20,0,12,5,12,12
Bird Hawk Society,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,8,0,6,3,7,10
Barbados,0,3,5,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,0,4,6,0,0,0,0,1,2,0,3,0,0,0,1,0,0,3,0,3,4,0,1,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,3,4,0,0,0,0,1,2,0,0,0,0,1,2,0,1,0,0,14,16,1,22,11,17,20
Lightspeed,0,4,4,0,5,3,0,1,1,0,0,0,0,0,0,0,0,1,0,4,1,0,6,4,0,1,0,0,1,2,0,2,1,0,0,0,0,2,1,0,5,3,0,1,2,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,3,0,1,0,0,0,1,0,0,2,0,2,0,0,2,0,0,21,13,0,22,14,19,19
Countershaded,0,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,8,0,6,4,9,7
Tempest,0,5,2,0,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,5,3,0,0,0,0,0,0,0,2,2,0,1,1,0,2,0,0,4,3,0,0,0,0,0,0,0,1,1,0,2,1,0,1,1,0,0,0,0,4,3,0,0,1,0,0,1,0,1,0,0,3,1,0,0,0,0,17,12,0,10,12,16,18
Arctic Foxes,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,11,0,5,4,3,5
Volume Zero,0,3,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,3,3,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,12,9,0,9,8,12,13
Flying Lions,0,3,5,0,5,3,0,0,0,0,0,0,0,0,0,0,3,1,0,2,2,0,6,5,0,0,1,0,4,1,0,1,1,0,0,1,0,1,1,0,5,3,0,0,0,0,0,0,0,1,1,0,3,2,0,0,0,0,1,0,0,2,6,0,0,0,0,0,1,0,0,2,0,2,1,0,0,2,0,18,17,0,20,15,20,20
Onetricks,0,4,3,0,2,3,1,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,5,3,0,0,0,0,1,1,0,2,1,0,1,1,0,1,0,0,4,2,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,2,4,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,0,13,12,1,12,10,13,13
Blinkstrike,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,4,13,0,8,0,2,11
Not My Meta,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,5,2,0,2
Heckin Habaneros,0,7,1,0,5,1,1,1,0,0,0,0,0,0,0,0,2,0,0,2,1,1,7,2,0,1,0,0,1,0,0,3,1,0,1,0,0,1,1,0,4,3,0,3,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,2,0,1,2,1,0,1,0,0,21,7,2,13,15,12,19
Gamma,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,3,1,3,3
Water Esports,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
